id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,RightClickDisabled,PopUpWindow,IframeOrFrame,MissingTitle,ImagesOnlyInForm
74,1,0,4,82,4,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,21,54,0,0,0,0,0.176470588,0,1,0,1,0,0,0,0,0,0
75,2,1,3,68,0,0,0,0,0,0,0,0,0,22,1,1,0,0,1,0,19,42,0,0,0,0,0.304347826,1,1,0,0,0,0,0,1,0,0
76,2,0,8,85,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,65,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
77,3,1,1,52,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,22,15,7,0,0,0,0.418604651,0,1,0,0,0,1,0,0,0,0
78,2,1,3,72,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,22,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,3,1,3,44,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,18,19,0,0,0,0,0.25,0,1,1,0,0,0,0,0,0,0
80,3,1,1,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,12,0,0,0,0,0.458333333,0,0,0,0,0,0,0,1,0,0
81,1,0,4,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,22,21,0,0,0,0,0.785714286,0,1,0,0,0,0,0,1,0,0
82,2,1,3,94,1,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,29,58,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
83,3,0,6,213,1,0,0,0,2,0,3,1,0,41,1,1,0,0,1,0,18,72,115,0,2,0,0,0,1,0,0,0,0,0,0,0,0
84,1,0,2,73,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,58,0,0,0,0,0.833333333,1,0,0,0,0,0,0,0,0,0
85,1,0,3,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,29,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
86,3,0,4,149,1,0,0,0,7,0,2,2,0,4,1,0,0,0,1,0,20,34,87,0,0,0,0.333333333,0,1,1,0,0,0,0,0,0,0
87,6,1,6,103,0,0,0,0,0,0,0,0,0,23,1,1,0,0,1,0,12,84,0,0,2,0,0.263157895,0,1,1,0,0,0,0,0,0,0
88,2,0,4,56,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,16,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,2,1,1,75,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,25,18,24,0,0,0,0.761904762,0,1,0,0,0,0,0,1,0,0
90,3,1,4,92,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23,62,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
91,4,1,3,45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
92,2,1,3,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,21,0,0,0,0,0.888888889,1,0,0,0,0,0,0,0,0,0
93,4,0,1,165,0,0,0,0,5,0,8,7,0,7,1,0,0,0,0,0,15,10,132,0,0,0,0.032258065,0,1,0,0,0,0,0,0,0,0
94,2,1,4,170,8,1,0,0,0,0,2,1,0,29,1,1,0,0,1,0,14,82,66,0,0,0,0.1,0,1,1,0,0,0,0,0,0,1
95,4,1,3,61,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,34,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
96,2,0,2,39,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,15,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
97,5,1,6,85,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,60,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
98,2,0,7,220,1,1,0,0,1,0,3,2,0,31,1,1,0,0,0,0,25,51,136,0,1,0,0.333333333,0,1,0,0,0,0,0,0,0,0
99,2,1,4,73,5,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,16,50,0,0,0,0,0.156521739,0,1,1,0,0,0,0,1,0,0
100,2,0,5,60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,42,0,0,0,0,0.1875,1,1,0,0,0,0,0,1,0,0
101,2,0,2,68,2,1,0,0,0,0,2,1,0,7,1,0,0,0,0,0,21,23,16,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0
102,4,0,3,164,0,0,0,0,0,0,3,2,0,35,1,1,0,0,0,0,10,52,94,0,2,0,0.076923077,0,1,0,0,0,0,0,0,0,0
103,3,1,1,112,0,0,0,0,2,0,4,3,0,9,1,0,0,0,0,0,24,13,67,0,0,0,0.435483871,0,1,0,0,0,0,0,0,0,0
104,3,1,13,79,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,58,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
105,2,0,3,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,23,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106,2,1,2,38,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,16,15,0,0,0,0,0.071428571,0,1,1,0,0,0,0,1,0,0
107,4,1,3,50,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,14,24,4,0,1,0,0.5,1,1,0,0,0,0,0,0,0,0
108,3,1,2,44,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,23,0,0,0,0,0.1,1,1,0,1,0,0,0,0,0,0
109,3,0,2,56,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,17,32,0,0,1,0,0.133333333,1,1,0,1,0,0,0,0,0,0
110,2,0,4,116,1,0,0,0,4,0,2,1,0,1,1,1,0,0,0,0,17,43,48,0,0,0,0,0,1,1,0,0,0,0,0,0,0
111,2,1,2,61,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,30,0,0,0,0,0.338709677,0,1,1,0,0,0,0,1,0,0
112,4,0,3,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,24,0,0,0,0,0.105263158,0,1,0,0,0,1,0,0,0,0
113,3,1,5,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
114,2,0,1,35,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,9,10,8,0,0,0,0.058823529,0,1,1,0,0,0,0,0,0,0
115,1,0,7,87,1,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,12,68,0,0,0,0,0.076923077,0,1,1,0,0,0,0,0,0,0
116,3,1,2,37,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,13,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
117,4,1,3,57,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,30,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
118,3,1,4,61,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,34,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
119,1,0,2,40,0,0,0,0,1,0,0,0,0,7,1,1,0,0,1,0,10,23,0,0,0,0,0.110091743,0,1,0,0,0,0,0,1,0,0
120,3,0,4,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,27,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
121,3,1,1,41,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,21,0,0,0,0,0.151515152,0,1,0,0,0,0,0,0,0,0
122,2,0,6,130,0,0,0,0,0,0,0,3,0,25,1,1,0,0,0,0,16,107,0,0,0,0,0.115384615,0,1,1,0,1,0,0,1,0,0
123,2,0,3,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124,1,0,3,62,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,46,0,0,0,0,0.538461539,0,1,0,0,0,0,0,0,0,0
125,2,1,3,52,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28,17,0,0,0,0,0.421052632,0,1,1,0,0,0,0,1,0,0
126,1,0,5,61,4,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,14,40,0,0,0,0,0.52173913,0,1,0,0,0,0,0,1,0,0
127,1,0,2,76,1,0,0,0,0,2,1,0,0,11,1,0,0,0,0,0,19,7,42,0,1,0,0.28,0,1,0,1,0,0,0,0,0,0
128,3,1,2,104,8,8,0,0,0,0,0,0,0,2,1,1,0,1,0,0,80,17,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
129,2,1,2,41,1,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,23,11,0,0,0,0,0.12,0,1,1,0,0,0,0,1,0,0
130,3,1,2,46,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,25,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
131,1,0,1,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,9,0,0,0,0,0.333333333,0,0,0,0,0,0,0,1,0,0
132,3,1,1,59,0,0,0,0,0,0,3,2,0,6,1,0,0,0,0,0,16,12,23,0,0,0,0.002941177,0,1,0,0,0,0,0,0,0,0
133,2,0,5,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,20,0,0,0,0,0.428571429,1,1,0,0,0,0,0,0,0,0
134,3,1,2,57,4,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,14,36,0,0,0,0,0.977777778,0,1,1,0,0,0,0,1,0,0
135,3,1,5,77,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,55,0,0,0,1,0.875,0,1,0,0,0,0,0,0,0,0
136,1,0,5,75,7,0,0,0,0,0,0,0,0,9,1,1,0,0,1,0,17,51,0,0,0,0,0.473282443,1,1,1,0,1,0,0,1,0,0
137,2,1,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0
138,2,1,2,57,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,26,0,0,0,0,0.4,0,1,0,0,0,0,0,1,0,0
139,6,1,3,53,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,18,28,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
140,2,0,1,89,0,0,0,0,1,0,4,3,0,6,1,0,0,0,0,0,22,10,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0
141,2,0,2,49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,22,0,0,0,0,0.071428571,1,1,0,0,0,0,0,0,0,0
142,3,1,8,153,3,1,0,0,0,0,0,0,0,41,1,1,0,0,1,0,20,126,0,0,0,0,0.041666667,1,1,0,0,0,0,0,0,0,0
143,2,1,4,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
144,4,0,3,164,0,0,0,0,4,0,10,9,0,9,1,0,1,0,0,0,12,22,122,0,1,0,0,0,1,0,0,0,0,0,0,0,0
145,2,1,0,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23,1,0,0,0,0,0.518518519,0,1,0,0,0,0,0,1,0,0
146,3,1,4,82,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,11,55,8,0,0,0,0.178571429,0,1,0,0,0,0,0,0,0,0
147,2,1,2,45,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,15,23,0,0,0,0,0.085714286,0,1,1,0,0,0,0,0,0,0
148,3,1,4,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,27,0,0,0,0,0.076923077,0,1,1,0,0,0,0,0,0,0
149,2,0,1,100,0,0,0,0,2,0,4,3,0,8,1,0,0,0,0,0,18,10,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2,0,4,59,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,16,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
151,4,1,4,48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,27,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
152,3,1,1,37,0,0,0,0,1,0,0,0,0,10,1,1,0,0,0,0,12,18,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
153,2,0,5,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,31,0,0,0,0,0.615384615,1,1,0,0,0,0,0,0,0,0
154,3,1,3,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
155,2,0,3,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,19,0,0,0,0,0.785714286,0,1,0,0,0,0,0,1,0,0
156,3,1,1,103,6,0,0,0,0,0,2,2,0,15,1,1,0,0,0,0,26,15,54,0,0,0,0.173913044,0,0,0,0,0,0,0,0,0,0
157,3,1,7,88,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,32,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
158,1,0,3,34,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,10,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
159,2,0,2,64,0,0,0,0,0,0,2,1,0,6,1,0,0,0,1,0,15,17,24,0,0,0,0.538461539,0,1,0,0,0,0,0,0,0,0
160,2,1,2,61,3,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,19,35,0,0,0,0,0.5,0,1,1,0,0,0,0,0,0,0
161,3,1,1,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
162,3,1,1,69,0,0,0,0,0,0,2,1,0,8,1,0,0,0,0,0,19,15,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0
163,4,1,3,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
164,2,0,4,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
165,4,1,3,51,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
166,3,2,3,117,5,3,0,0,0,0,0,0,0,25,1,1,0,1,0,0,52,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
167,2,0,3,153,0,0,0,0,0,0,4,3,0,40,1,1,0,0,0,0,19,44,82,0,0,0,0.625,0,1,0,0,0,0,0,0,0,0
168,1,0,2,82,8,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,8,67,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0
169,1,0,2,91,12,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,15,69,0,0,0,0,0.977272727,1,1,1,0,0,0,0,1,0,0
170,2,1,5,85,5,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,26,52,0,0,0,0,0.72,1,1,0,0,0,0,0,1,0,0
171,3,1,2,51,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,22,22,0,0,0,0,0.909090909,0,0,0,0,0,0,0,1,0,0
